#Dummy threshold values - to be substituted in the future with real ones
#side	layer	pmt	thr	value	error
1	1	A	1	10	1
1	1	A	2	20	2
1	1	A	3	30	3
1	1	A	4	40	4
1	1	B	1	10	1
1	1	B	2	20	2
1	1	B	3	30	3
1	1	B	4	40	4
1	2	A	1	10	1
1	2	A	2	20	2
1	2	A	3	30	3
1	2	A	4	40	4
1	2	B	1	10	1
1	2	B	2	20	2
1	2	B	3	30	3
1	2	B	4	40	4
1	3	A	1	10	1
1	3	A	2	20	2
1	3	A	3	30	3
1	3	A	4	40	4
1	3	B	1	10	1
1	3	B	2	20	2
1	3	B	3	30	3
1	3	B	4	40	4
1	4	A	1	10	1
1	4	A	2	20	2
1	4	A	3	30	3
1	4	A	4	40	4
1	4	B	1	10	1
1	4	B	2	20	2
1	4	B	3	30	3
1	4	B	4	40	4
1	5	A	1	10	1
1	5	A	2	20	2
1	5	A	3	30	3
1	5	A	4	40	4
1	5	B	1	10	1
1	5	B	2	20	2
1	5	B	3	30	3
1	5	B	4	40	4
1	6	A	1	10	1
1	6	A	2	20	2
1	6	A	3	30	3
1	6	A	4	40	4
1	6	B	1	10	1
1	6	B	2	20	2
1	6	B	3	30	3
1	6	B	4	40	4
1	7	A	1	10	1
1	7	A	2	20	2
1	7	A	3	30	3
1	7	A	4	40	4
1	7	B	1	10	1
1	7	B	2	20	2
1	7	B	3	30	3
1	7	B	4	40	4
1	8	A	1	10	1
1	8	A	2	20	2
1	8	A	3	30	3
1	8	A	4	40	4
1	8	B	1	10	1
1	8	B	2	20	2
1	8	B	3	30	3
1	8	B	4	40	4
1	9	A	1	10	1
1	9	A	2	20	2
1	9	A	3	30	3
1	9	A	4	40	4
1	9	B	1	10	1
1	9	B	2	20	2
1	9	B	3	30	3
1	9	B	4	40	4
1	10	A	1	10	1
1	10	A	2	20	2
1	10	A	3	30	3
1	10	A	4	40	4
1	10	B	1	10	1
1	10	B	2	20	2
1	10	B	3	30	3
1	10	B	4	40	4
1	11	A	1	10	1
1	11	A	2	20	2
1	11	A	3	30	3
1	11	A	4	40	4
1	11	B	1	10	1
1	11	B	2	20	2
1	11	B	3	30	3
1	11	B	4	40	4
1	12	A	1	10	1
1	12	A	2	20	2
1	12	A	3	30	3
1	12	A	4	40	4
1	12	B	1	10	1
1	12	B	2	20	2
1	12	B	3	30	3
1	12	B	4	40	4
1	13	A	1	10	1
1	13	A	2	20	2
1	13	A	3	30	3
1	13	A	4	40	4
1	13	B	1	10	1
1	13	B	2	20	2
1	13	B	3	30	3
1	13	B	4	40	4
1	14	A	1	10	1
1	14	A	2	20	2
1	14	A	3	30	3
1	14	A	4	40	4
1	14	B	1	10	1
1	14	B	2	20	2
1	14	B	3	30	3
1	14	B	4	40	4
1	15	A	1	10	1
1	15	A	2	20	2
1	15	A	3	30	3
1	15	A	4	40	4
1	15	B	1	10	1
1	15	B	2	20	2
1	15	B	3	30	3
1	15	B	4	40	4
1	16	A	1	10	1
1	16	A	2	20	2
1	16	A	3	30	3
1	16	A	4	40	4
1	16	B	1	10	1
1	16	B	2	20	2
1	16	B	3	30	3
1	16	B	4	40	4
1	17	A	1	10	1
1	17	A	2	20	2
1	17	A	3	30	3
1	17	A	4	40	4
1	17	B	1	10	1
1	17	B	2	20	2
1	17	B	3	30	3
1	17	B	4	40	4
1	18	A	1	10	1
1	18	A	2	20	2
1	18	A	3	30	3
1	18	A	4	40	4
1	18	B	1	10	1
1	18	B	2	20	2
1	18	B	3	30	3
1	18	B	4	40	4
1	19	A	1	10	1
1	19	A	2	20	2
1	19	A	3	30	3
1	19	A	4	40	4
1	19	B	1	10	1
1	19	B	2	20	2
1	19	B	3	30	3
1	19	B	4	40	4
1	20	A	1	10	1
1	20	A	2	20	2
1	20	A	3	30	3
1	20	A	4	40	4
1	20	B	1	10	1
1	20	B	2	20	2
1	20	B	3	30	3
1	20	B	4	40	4
1	21	A	1	10	1
1	21	A	2	20	2
1	21	A	3	30	3
1	21	A	4	40	4
1	21	B	1	10	1
1	21	B	2	20	2
1	21	B	3	30	3
1	21	B	4	40	4
1	22	A	1	10	1
1	22	A	2	20	2
1	22	A	3	30	3
1	22	A	4	40	4
1	22	B	1	10	1
1	22	B	2	20	2
1	22	B	3	30	3
1	22	B	4	40	4
1	23	A	1	10	1
1	23	A	2	20	2
1	23	A	3	30	3
1	23	A	4	40	4
1	23	B	1	10	1
1	23	B	2	20	2
1	23	B	3	30	3
1	23	B	4	40	4
1	24	A	1	10	1
1	24	A	2	20	2
1	24	A	3	30	3
1	24	A	4	40	4
1	24	B	1	10	1
1	24	B	2	20	2
1	24	B	3	30	3
1	24	B	4	40	4
1	25	A	1	10	1
1	25	A	2	20	2
1	25	A	3	30	3
1	25	A	4	40	4
1	25	B	1	10	1
1	25	B	2	20	2
1	25	B	3	30	3
1	25	B	4	40	4
1	26	A	1	10	1
1	26	A	2	20	2
1	26	A	3	30	3
1	26	A	4	40	4
1	26	B	1	10	1
1	26	B	2	20	2
1	26	B	3	30	3
1	26	B	4	40	4
1	27	A	1	10	1
1	27	A	2	20	2
1	27	A	3	30	3
1	27	A	4	40	4
1	27	B	1	10	1
1	27	B	2	20	2
1	27	B	3	30	3
1	27	B	4	40	4
1	28	A	1	10	1
1	28	A	2	20	2
1	28	A	3	30	3
1	28	A	4	40	4
1	28	B	1	10	1
1	28	B	2	20	2
1	28	B	3	30	3
1	28	B	4	40	4
1	29	A	1	10	1
1	29	A	2	20	2
1	29	A	3	30	3
1	29	A	4	40	4
1	29	B	1	10	1
1	29	B	2	20	2
1	29	B	3	30	3
1	29	B	4	40	4
1	30	A	1	10	1
1	30	A	2	20	2
1	30	A	3	30	3
1	30	A	4	40	4
1	30	B	1	10	1
1	30	B	2	20	2
1	30	B	3	30	3
1	30	B	4	40	4
1	31	A	1	10	1
1	31	A	2	20	2
1	31	A	3	30	3
1	31	A	4	40	4
1	31	B	1	10	1
1	31	B	2	20	2
1	31	B	3	30	3
1	31	B	4	40	4
1	32	A	1	10	1
1	32	A	2	20	2
1	32	A	3	30	3
1	32	A	4	40	4
1	32	B	1	10	1
1	32	B	2	20	2
1	32	B	3	30	3
1	32	B	4	40	4
1	33	A	1	10	1
1	33	A	2	20	2
1	33	A	3	30	3
1	33	A	4	40	4
1	33	B	1	10	1
